decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,avg_momentum,holding_return,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,3,1,1,0.16665571106494928,-0.0720760301197626,TCOM,0.16665571106494928,-0.0720760301197626,,,,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,3,2,1,0.16665571106494928,-0.07362364738158089,TCOM,0.16665571106494928,-0.07362364738158089,,,,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,3,3,1,0.16665571106494928,-0.008622535887117921,TCOM,0.16665571106494928,-0.008622535887117921,,,,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,3,1,2,0.14803187402987256,-0.1409957298595591,TCOM,0.16665571106494928,-0.0720760301197626,ADSK,0.12940803699479583,-0.2099154295993556,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,3,2,2,0.14803187402987256,-0.08655481708638646,TCOM,0.16665571106494928,-0.07362364738158089,ADSK,0.12940803699479583,-0.09948598679119203,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,3,3,2,0.14803187402987256,-0.02536914273787305,TCOM,0.16665571106494928,-0.008622535887117921,ADSK,0.12940803699479583,-0.04211574958862818,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,3,1,3,0.1410930895587623,-0.10161593184607798,TCOM,0.16665571106494928,-0.0720760301197626,ADSK,0.12940803699479583,-0.2099154295993556,KLAC,0.12721552061654173,-0.022856335819115725
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,3,2,3,0.1410930895587623,-0.05355947408656806,TCOM,0.16665571106494928,-0.07362364738158089,ADSK,0.12940803699479583,-0.09948598679119203,KLAC,0.12721552061654173,0.01243121191306873
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,3,3,3,0.1410930895587623,0.0071430039799159255,TCOM,0.16665571106494928,-0.008622535887117921,ADSK,0.12940803699479583,-0.04211574958862818,KLAC,0.12721552061654173,0.07216729741549388
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,3,1,1,0.07494766907651036,0.0006098489914132532,DLTR,0.07494766907651036,0.0006098489914132532,,,,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,3,2,1,0.07494766907651036,0.016223397745782853,DLTR,0.07494766907651036,0.016223397745782853,,,,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,3,3,1,0.07494766907651036,-0.01341798070837219,DLTR,0.07494766907651036,-0.01341798070837219,,,,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,3,1,2,0.057185656447954626,-0.004363901322502195,DLTR,0.07494766907651036,0.0006098489914132532,ROST,0.03942364381939889,-0.009337651636417643,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,3,2,2,0.057185656447954626,0.025908021127859837,DLTR,0.07494766907651036,0.016223397745782853,ROST,0.03942364381939889,0.03559264450993682,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,3,3,2,0.057185656447954626,0.001815833721175053,DLTR,0.07494766907651036,-0.01341798070837219,ROST,0.03942364381939889,0.017049648150722296,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,3,1,3,0.05112833922528901,-0.018172632561107276,DLTR,0.07494766907651036,0.0006098489914132532,ROST,0.03942364381939889,-0.009337651636417643,META,0.0390137047799578,-0.045790095038317435
2016-02,2016-02-01,2016-04-01,2016-02-01,105,78,3,2,3,0.05112833922528901,0.020081430509748904,DLTR,0.07494766907651036,0.016223397745782853,ROST,0.03942364381939889,0.03559264450993682,META,0.0390137047799578,0.008428249273527033
2016-02,2016-02-01,2016-05-02,2016-02-01,105,78,3,3,3,0.05112833922528901,0.011289649867486706,DLTR,0.07494766907651036,-0.01341798070837219,ROST,0.03942364381939889,0.017049648150722296,META,0.0390137047799578,0.030237282160110013
2016-03,2016-03-01,2016-04-01,2016-03-01,105,78,3,1,1,0.10056077520986739,0.06166706490700791,MAT,0.10056077520986739,0.06166706490700791,,,,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,78,3,2,1,0.10056077520986739,-0.029129308372968565,MAT,0.10056077520986739,-0.029129308372968565,,,,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,78,3,3,1,0.10056077520986739,-0.0013700531132453397,MAT,0.10056077520986739,-0.0013700531132453397,,,,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,78,3,1,2,0.08460835645859235,0.018046635951118606,MAT,0.10056077520986739,0.06166706490700791,BBBY,0.06865593770731733,-0.025573793004770695,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,78,3,2,2,0.08460835645859235,-0.013908901472921287,MAT,0.10056077520986739,-0.029129308372968565,BBBY,0.06865593770731733,0.0013115054271259918,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,78,3,3,2,0.08460835645859235,0.05997072365549955,MAT,0.10056077520986739,-0.0013700531132453397,BBBY,0.06865593770731733,0.12131150042424443,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,78,3,1,3,0.07320347055154762,0.027948296499821185,MAT,0.10056077520986739,0.06166706490700791,BBBY,0.06865593770731733,-0.025573793004770695,FAST,0.05039369873745814,0.04775161759722635
2016-03,2016-03-01,2016-05-02,2016-03-01,105,78,3,2,3,0.07320347055154762,-0.004765053797820736,MAT,0.10056077520986739,-0.029129308372968565,BBBY,0.06865593770731733,0.0013115054271259918,FAST,0.05039369873745814,0.013522641552380366
